node_id,count,A,r,cL,word,R4,R4_decimal,in_range,impossible,mod_4A
12,0,89,13029375,3665918095931345471996061805825,1.1.1.1.1.1.1.1.1.1.1.3.1.1.2.1.1.1.2.1.1.1.1.2.4.2.1.1.1.2.1.1.2.1.1.2.1.1.2.2.1.1.1.3.3.1.1.1.1.2.1.1.1.3.3.3.1.1.1.1.1.1.1.1,18484088430797997316637709009240147149473151229029715651411256340427745105392763518986585814221499446775807,18484088430797997316637709009240147149473151229029715651411256340427745105392763518986585814221499446775807,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
13,0,89,10906367,11197297168042357752098310410753,1.1.1.1.1.1.1.2.4.1.1.2.1.2.1.2.1.1.1.1.1.4.2.1.1.1.1.1.6.1.2.1.1.1.1.1.2.4.1.1.1.2.1.1.2.1.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.2,131031231717146895576624795068448344791250591478013489572684084108580774171291204231678620864790707669723903,131031231717146895576624795068448344791250591478013489572684084108580774171291204231678620864790707669723903,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
14,0,89,16995455,4407910626569069891415833110657,1.1.1.1.1.1.2.2.2.1.1.1.1.2.1.1.1.1.2.1.1.1.1.3.1.1.2.1.1.1.1.1.1.1.1.1.1.1.2.2.1.2.1.1.1.3.3.2.1.1.1.1.1.1.1.1.2.1.1.4.4.1.1.3,141642123232509615023882025224456601329443188292349094496261990361257363111954000083352160808594189414782079,141642123232509615023882025224456601329443188292349094496261990361257363111954000083352160808594189414782079,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
15,0,89,18048031,6032031493215260734418336069857,1.1.1.1.2.2.1.1.1.1.2.2.1.3.1.1.2.1.1.2.1.1.1.2.2.1.1.2.1.1.2.1.2.1.1.1.1.1.2.1.3.1.1.2.1.3.1.1.2.2.1.1.2.1.1.1.1.2.1.2.1.2.1.1,112397873877267473782514189527916890090455187461518926479762091009029022602087303343192462569226961748714527,112397873877267473782514189527916890090455187461518926479762091009029022602087303343192462569226961748714527,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
16,0,89,18601519,6797092158308319045032953870033,1.1.1.2.2.1.1.1.1.2.1.1.1.1.1.1.2.1.1.1.1.1.1.2.2.2.1.1.1.2.2.4.5.1.1.1.5.1.1.1.1.1.1.1.2.1.2.1.1.1.1.3.1.1.1.1.1.1.1.1.1.2.1.1,87133474577624828291537866441482516629227369320164756893173414026776452915570081663566279732762345266206255,87133474577624828291537866441482516629227369320164756893173414026776452915570081663566279732762345266206255,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
17,0,89,17831783,8158709961386362099092292033945,1.1.2.1.1.1.1.1.1.3.2.1.2.2.1.1.1.3.1.2.1.3.2.1.1.1.1.1.2.2.1.1.1.1.1.1.1.1.1.1.1.2.1.2.5.1.1.2.1.1.2.1.2.1.1.2.1.1.1.1.1.2.1.1,86110071556449060831411148331570340948476282154960704256548539907464411883694441934738185757625787264014183,86110071556449060831411148331570340948476282154960704256548539907464411883694441934738185757625787264014183,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
18,0,89,7209223,12974184113893203730375202690041,1.1.2.3.1.1.2.1.2.1.1.2.1.1.1.1.1.1.2.1.2.1.1.2.1.2.2.1.2.2.1.1.2.1.2.1.1.1.1.1.1.2.1.1.1.2.1.1.2.2.2.1.1.1.2.1.1.1.2.1.1.1.2.3,61661873364826894498201491664318676133042022597371569801031069701876432981889551639174085934431869569204487,61661873364826894498201491664318676133042022597371569801031069701876432981889551639174085934431869569204487,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
19,0,89,17674423,10063680636382777983509648192585,1.1.3.1.2.1.1.1.1.1.2.2.2.1.1.1.1.1.1.1.1.1.2.1.1.1.3.1.2.3.1.1.3.2.1.2.2.2.1.1.1.1.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.2,88050501207102359464726975893773821960032615671177831186531564956780495170326839069528450473565767074689207,88050501207102359464726975893773821960032615671177831186531564956780495170326839069528450473565767074689207,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
20,0,89,3977719,15346674976714113818845401445129,1.1.3.2.1.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1,92138103548122120391611515473851413068117809325318291074595852556057814370208887504000514678858566978023927,92138103548122120391611515473851413068117809325318291074595852556057814370208887504000514678858566978023927,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
21,0,89,4637979,5875646579855319531384455449573,1.2.1.1.1.1.1.2.1.1.1.2.1.2.1.1.1.2.2.2.1.1.1.1.2.1.1.1.1.4.1.2.3.2.2.1.1.1.1.1.1.2.1.1.2.1.2.2.1.1.1.1.2.1.1.1.2.2.1.1.1.2.2.1,59982160816661186990725285050874620456777618695212154416043061439330095980855984748426545403758546482808091,59982160816661186990725285050874620456777618695212154416043061439330095980855984748426545403758546482808091,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
22,0,89,14297769,6081570677345103070600885768279,2.1.1.1.1.1.1.1.1.1.1.1.1.2.1.3.2.1.1.1.3.2.1.1.2.1.1.1.1.2.1.2.2.1.2.2.1.1.1.1.1.1.1.1.2.1.2.2.2.1.1.1.3.1.1.1.3.1.1.3.1.1.2.1,47351333798572098991377461768795301788440491401028993149770799132083986911097259060984815236692648427924137,47351333798572098991377461768795301788440491401028993149770799132083986911097259060984815236692648427924137,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
23,0,89,7692969,6539980152870557445143442872407,2.1.1.1.1.1.1.1.1.2.1.1.3.1.1.1.1.3.1.3.1.1.2.1.2.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.2.2.1.3.1.4.1.1.1.2.1.1.1.1.2.3.3.1.1.1.2.1.1.1,60931224675653473052629371371227092762778472803289207323478025878955508384892106849970502355815389740753577,60931224675653473052629371371227092762778472803289207323478025878955508384892106849970502355815389740753577,False,True,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
