nL0,B,depth,t
19003726943,24,3,5737722
19003726943,24,3,9093862
20240104931,24,3,9051773
20240104931,24,3,9819918
20240104931,24,3,14581390
20240104931,24,3,15322502
20240104931,24,3,15649390
20328570415,24,3,14763724
22066084439,24,3,4182626
22066084439,24,3,6871493
22066084439,24,3,14145058
22463640647,24,3,3281073
23334560999,24,3,2863525
23334560999,24,3,5173770
23334560999,24,3,9244588
24070917197,24,3,9951221
24070917197,24,3,11568665
25728805631,24,3,6262120
25728805631,24,3,16063800
26328389687,24,3,1369054
26328389687,24,3,15218231
26536217327,24,3,3650744
26536217327,24,3,4465486
32124160655,24,3,3007440
32124160655,24,3,13339928
33099126659,24,3,1500030
33099126659,24,3,6273939
33099126659,24,3,9737638
33099126659,24,3,11755322
39992575667,24,3,6428325
42645817793,24,3,2437550
42645817793,24,3,6262909
42645817793,24,3,11109023
42676105283,24,3,15883666
44142872879,24,3,3728220
50543191457,24,3,4815887
51646357927,24,3,9023308
52304792741,24,3,3411998
52304792741,24,3,8901938
52304792741,24,3,14509659
52762164437,24,3,4924905
52762164437,24,3,11286549
53249628703,24,3,9580080
53249628703,24,3,10269006
53249628703,24,3,13774319
60502166365,24,3,1738705
68861810569,24,3,10331567
79315673789,24,3,7138749
86834719007,24,3,2933424
93799403443,24,3,1844715
93799403443,24,3,5115220
93799403443,24,3,8681576
94280855951,24,3,205830
98920320839,24,3,1275078
98920320839,24,3,4087204
98920320839,24,3,4611922
100119934889,24,3,15573632
100119934889,24,3,15673044
103190363981,24,3,832571
106646868445,24,3,2374497
106646868445,24,3,8424711
106646868445,24,3,11029395
106646868445,24,3,14941109
284765443781,24,3,8766864
303345108701,24,3,10165969
5297568036839,24,3,10678980
7946352055259,24,3,16018470
